dimarray,threads,init,countingsort,user,elapsed,sys,pCPU
30000,16,0.002311,3.973639,3.973,0.520,0.004,765.15
30000,16,0.004125,4.028491,4.034,0.543,0.000,743.63
30000,16,0.002602,3.968507,3.968,0.523,0.004,759.55
30000,16,0.002533,3.896330,3.896,0.518,0.004,752.35
30000,16,0.002337,3.941938,3.946,0.512,0.000,770.08
30000,16,0.004292,4.063550,4.065,0.534,0.004,761.90
30000,16,0.002466,3.979175,3.979,0.509,0.004,782.68
30000,16,0.002274,3.997092,3.997,0.526,0.004,760.21
30000,16,0.004369,3.985775,3.992,0.542,0.000,736.06
30000,16,0.004051,4.052027,4.058,0.529,0.000,766.58
30000,16,0.004204,4.097904,4.103,0.528,0.000,777.45
30000,16,0.004127,4.082850,4.085,0.541,0.004,755.19
30000,16,0.003412,4.031572,4.036,0.540,0.000,748.17
30000,16,0.004109,3.999141,4.001,0.533,0.004,751.63
30000,16,0.002539,3.978915,3.979,0.534,0.004,746.05
30000,16,0.002346,3.855007,3.859,0.490,0.000,787.31
30000,16,0.004146,4.110504,4.116,0.527,0.000,780.59
30000,16,0.004556,4.068974,4.075,0.564,0.000,722.38
30000,16,0.004034,4.021083,4.022,0.514,0.004,782.90
30000,16,0.003552,4.139269,4.144,0.531,0.000,780.94
30000,16,0.004495,4.099097,4.101,0.536,0.004,766.02
30000,16,0.004579,4.091681,4.094,0.525,0.004,780.82
30000,16,0.002385,3.909281,3.913,0.515,0.000,759.82
30000,16,0.004164,4.073352,4.071,0.519,0.008,785.60
30000,16,0.003866,4.105739,4.111,0.547,0.000,752.24
30000,16,0.002429,3.797592,3.802,0.500,0.000,759.71
30000,16,0.002340,3.812758,3.817,0.501,0.000,761.33
30000,16,0.003927,4.016415,4.018,0.536,0.004,750.60
30000,16,0.004385,4.033061,4.039,0.543,0.000,744.49
30000,16,0.004202,4.052636,4.058,0.513,0.000,790.60
30000,16,0.003850,4.105765,4.111,0.521,0.000,788.93
30000,16,0.003975,4.137386,4.139,0.536,0.004,772.47
30000,16,0.002627,3.960867,3.965,0.519,0.000,764.53
30000,16,0.003767,4.055261,4.060,0.532,0.000,762.95
30000,16,0.002482,3.933355,3.937,0.502,0.000,783.85
30000,16,0.002380,3.949625,3.950,0.523,0.004,756.09
30000,16,0.002385,3.905979,3.906,0.517,0.004,756.38
30000,16,0.004358,4.041621,4.047,0.522,0.000,775.20
30000,16,0.002303,3.998436,4.002,0.543,0.000,737.03
30000,16,0.004113,4.002068,4.004,0.525,0.004,763.06
30000,16,0.003992,4.054033,4.060,0.526,0.000,772.44
30000,16,0.004617,4.060352,4.067,0.540,0.000,752.52
30000,16,0.004010,4.041097,4.047,0.537,0.000,753.27
30000,16,0.004200,4.022358,4.024,0.528,0.004,762.59
30000,16,0.004083,4.103954,4.109,0.526,0.000,780.65
30000,16,0.002009,3.969403,3.969,0.538,0.004,737.90
30000,16,0.003874,4.025587,4.031,0.513,0.000,786.10
30000,16,0.004627,4.071404,4.073,0.543,0.004,751.16
30000,16,0.002508,3.870124,3.870,0.516,0.004,750.77
30000,16,0.002158,3.971776,3.975,0.505,0.000,787.83
