dimarray,threads,init,countingsort,user,elapsed,sys,pCPU
50000,0,0.000380,10.800050,10.801,10.801,0.000,100.00
50000,0,0.000265,10.718964,10.720,10.720,0.000,99.99
50000,0,0.000269,10.708225,10.709,10.709,0.000,100.00
50000,0,0.000266,10.714234,10.715,10.715,0.000,100.00
50000,0,0.000265,10.732308,10.733,10.734,0.000,100.00
50000,0,0.000307,10.707185,10.708,10.708,0.000,100.00
50000,0,0.000264,10.729684,10.727,10.731,0.004,100.00
50000,0,0.000267,10.709081,10.710,10.710,0.000,99.99
50000,0,0.000265,10.730010,10.731,10.731,0.000,99.99
50000,0,0.000266,10.719152,10.712,10.720,0.008,100.00
50000,0,0.000266,10.722864,10.720,10.724,0.004,99.99
50000,0,0.000268,10.719894,10.717,10.721,0.004,100.00
50000,0,0.000275,10.713482,10.714,10.715,0.000,100.00
50000,0,0.000270,10.727026,10.728,10.728,0.000,99.99
50000,0,0.000267,10.713940,10.715,10.715,0.000,99.99
50000,0,0.000266,10.723622,10.725,10.725,0.000,100.00
50000,0,0.000267,10.735558,10.736,10.737,0.000,100.00
50000,0,0.000307,10.720383,10.717,10.722,0.004,100.00
50000,0,0.000265,10.724477,10.725,10.726,0.000,100.00
50000,0,0.000270,10.714051,10.715,10.715,0.000,99.99
50000,0,0.000272,10.736932,10.738,10.738,0.000,99.99
50000,0,0.000297,10.706188,10.707,10.707,0.000,100.00
50000,0,0.000268,10.705631,10.707,10.707,0.000,100.00
50000,0,0.000275,10.718397,10.719,10.720,0.000,100.00
50000,0,0.000267,10.714993,10.716,10.716,0.000,99.99
50000,0,0.000265,10.716531,10.717,10.718,0.000,100.00
50000,0,0.000266,10.716204,10.717,10.717,0.000,100.00
50000,0,0.000268,10.712952,10.714,10.714,0.000,99.99
50000,0,0.000265,10.725947,10.727,10.727,0.000,99.99
50000,0,0.000266,10.715182,10.716,10.716,0.000,100.00
50000,0,0.000266,10.734693,10.736,10.736,0.000,100.00
50000,0,0.000267,10.722097,10.723,10.723,0.000,100.00
50000,0,0.000264,10.712777,10.710,10.714,0.004,100.00
50000,0,0.000266,10.720541,10.721,10.722,0.000,100.00
50000,0,0.000270,10.708765,10.710,10.710,0.000,100.00
50000,0,0.000266,10.724702,10.726,10.726,0.000,100.00
50000,0,0.000266,10.720959,10.722,10.722,0.000,99.99
50000,0,0.000265,10.705787,10.707,10.707,0.000,100.00
50000,0,0.000278,10.717630,10.719,10.719,0.000,100.00
50000,0,0.000270,10.714762,10.716,10.716,0.000,100.00
50000,0,0.000272,10.709283,10.710,10.711,0.000,100.00
50000,0,0.000269,10.697764,10.699,10.699,0.000,100.00
50000,0,0.000265,10.719205,10.720,10.720,0.000,100.00
50000,0,0.000306,10.720983,10.722,10.722,0.000,99.99
50000,0,0.000272,10.709281,10.710,10.710,0.000,100.00
50000,0,0.000282,10.707736,10.709,10.709,0.000,100.00
50000,0,0.000267,10.718542,10.719,10.720,0.000,100.00
50000,0,0.000269,10.719603,10.716,10.721,0.004,100.00
50000,0,0.000269,10.710509,10.707,10.712,0.004,100.00
50000,0,0.000270,10.721700,10.722,10.723,0.000,100.00
