dimarray,threads,init,countingsort,user,elapsed,sys,pCPU
30000000,0,0.260820,0.680424,0.874,0.963,0.084,99.45
30000000,0,0.247126,0.688780,0.848,0.959,0.103,99.23
30000000,0,0.256529,0.678661,0.840,0.953,0.112,99.90
30000000,0,0.246190,0.668205,0.814,0.930,0.116,100.00
30000000,0,0.249550,0.682622,0.856,0.948,0.092,100.00
30000000,0,0.242543,0.676201,0.827,0.935,0.108,99.99
30000000,0,0.247927,0.680361,0.864,0.944,0.080,100.00
30000000,0,0.265040,0.646852,0.799,0.927,0.128,100.00
30000000,0,0.241632,0.665677,0.846,0.922,0.076,100.00
30000000,0,0.227943,0.566807,0.740,0.808,0.068,100.00
30000000,0,0.206738,0.557012,0.718,0.778,0.060,100.00
30000000,0,0.202318,0.588296,0.721,0.805,0.084,100.00
30000000,0,0.239114,0.672591,0.828,0.928,0.100,99.99
30000000,0,0.252230,0.675074,0.832,0.943,0.112,100.00
30000000,0,0.247376,0.681960,0.850,0.946,0.096,100.00
30000000,0,0.248031,0.783851,0.920,1.052,0.132,100.00
30000000,0,0.276861,0.835570,0.985,1.130,0.144,100.01
30000000,0,0.340576,0.693816,0.949,1.049,0.100,99.95
30000000,0,0.215162,0.623402,0.765,0.853,0.088,99.99
30000000,0,0.201836,0.549141,0.680,0.764,0.084,99.98
30000000,0,0.209758,0.574116,0.717,0.797,0.080,100.00
30000000,0,0.215106,0.568239,0.714,0.798,0.084,100.00
30000000,0,0.203195,0.575559,0.712,0.796,0.084,100.00
30000000,0,0.245829,0.596643,0.749,0.862,0.112,99.95
30000000,0,0.257291,0.600916,0.782,0.879,0.092,99.45
30000000,0,0.237474,0.833376,0.966,1.090,0.124,99.98
30000000,0,0.248865,0.604982,0.773,0.875,0.096,99.25
30000000,0,0.233871,0.590921,0.720,0.842,0.120,99.83
30000000,0,0.255882,0.744034,0.936,1.020,0.084,100.00
30000000,0,0.284294,0.770955,0.923,1.080,0.152,99.54
30000000,0,0.300158,0.616909,0.847,0.932,0.084,99.83
30000000,0,0.217835,0.604507,0.737,0.838,0.100,99.88
30000000,0,0.218850,0.615654,0.767,0.853,0.083,99.72
30000000,0,0.222999,0.588556,0.752,0.827,0.076,100.00
30000000,0,0.211776,0.617065,0.733,0.848,0.112,99.60
30000000,0,0.224578,0.635372,0.757,0.873,0.116,100.00
30000000,0,0.216930,0.624338,0.770,0.858,0.088,100.00
30000000,0,0.226358,0.610673,0.764,0.855,0.088,99.68
30000000,0,0.216859,0.609290,0.725,0.841,0.116,100.00
30000000,0,0.225195,0.592025,0.744,0.832,0.088,100.00
30000000,0,0.220503,0.618864,0.749,0.853,0.104,100.00
30000000,0,0.257470,0.596086,0.771,0.867,0.096,100.00
30000000,0,0.238107,0.789309,0.941,1.048,0.104,99.76
30000000,0,0.291771,0.770925,0.993,1.081,0.088,100.00
30000000,0,0.287763,0.789769,1.007,1.096,0.088,99.92
30000000,0,0.287583,0.760431,0.951,1.067,0.116,100.00
30000000,0,0.269973,0.829982,1.004,1.120,0.116,100.00
30000000,0,0.278992,0.798145,0.999,1.095,0.096,100.00
30000000,0,0.288548,0.793386,1.005,1.101,0.096,100.00
30000000,0,0.269464,0.760308,0.965,1.049,0.084,100.01
