dimarray,threads,init,countingsort,user,elapsed,sys,pCPU
50000000,8,3.824365,1.297189,4.893,2.464,0.271,209.61
50000000,8,4.755456,1.534556,6.032,3.406,0.305,186.07
50000000,8,4.909115,1.257452,5.908,2.784,0.306,223.22
50000000,8,2.376987,1.503018,3.629,2.853,0.303,137.79
50000000,8,2.511754,1.445669,3.740,2.448,0.258,163.30
50000000,8,1.828396,1.360521,2.993,2.091,0.226,153.93
50000000,8,2.934280,1.175590,3.851,1.214,0.285,340.68
50000000,8,2.735213,1.127513,3.636,1.160,0.254,335.35
50000000,8,3.410076,1.173054,4.390,1.237,0.223,372.97
50000000,8,7.528261,1.168808,8.455,1.830,0.268,476.54
50000000,8,7.798093,1.090491,8.740,1.794,0.176,496.98
50000000,8,7.609798,1.232539,8.653,1.849,0.216,479.71
50000000,8,6.413896,0.931126,7.170,1.518,0.199,485.64
50000000,8,6.985551,1.105301,7.929,1.702,0.188,476.81
50000000,8,3.337658,1.185955,4.300,1.256,0.251,362.31
50000000,8,7.567127,1.184914,8.560,1.838,0.224,477.91
50000000,8,3.326996,1.222719,4.350,1.265,0.225,361.61
50000000,8,7.530680,1.147237,8.459,1.834,0.247,474.61
50000000,8,7.605401,1.064065,8.398,1.757,0.297,494.91
50000000,8,8.139422,1.108423,9.014,1.847,0.259,502.17
50000000,8,2.713156,1.183946,3.719,1.163,0.205,337.38
50000000,8,3.174410,1.212054,4.199,1.255,0.217,351.95
50000000,8,7.729005,1.172991,8.756,1.821,0.172,490.43
50000000,8,7.760630,1.194444,8.741,1.907,0.243,471.07
50000000,8,3.338306,1.215593,4.357,1.285,0.226,356.55
50000000,8,7.442894,1.187706,8.440,1.823,0.216,474.91
50000000,8,8.236810,1.128387,9.122,1.877,0.272,500.42
50000000,8,8.044498,1.300373,9.173,1.925,0.200,487.00
50000000,8,8.179136,1.210835,9.225,1.938,0.192,485.84
50000000,8,7.683915,1.188506,8.670,1.927,0.232,462.01
50000000,8,2.803248,1.237926,3.825,1.214,0.243,335.17
50000000,8,8.158846,1.129726,9.092,1.842,0.221,505.47
50000000,8,7.087155,0.937798,7.872,1.548,0.177,519.82
50000000,8,7.156774,1.181343,8.081,1.807,0.285,463.10
50000000,8,2.469772,1.059391,3.343,1.051,0.211,338.22
50000000,8,2.230680,0.915532,2.991,0.951,0.179,333.57
50000000,8,6.053630,1.157366,7.018,1.640,0.220,441.34
50000000,8,7.978786,1.237931,8.958,1.892,0.288,488.63
50000000,8,8.423844,1.000872,9.186,1.753,0.262,539.06
50000000,8,6.790994,0.946770,7.590,1.540,0.172,504.02
50000000,8,6.015116,0.956480,6.804,1.490,0.192,469.63
50000000,8,6.362915,1.069687,7.204,1.537,0.251,485.14
50000000,8,6.206425,0.941818,6.983,1.544,0.188,464.60
50000000,8,6.704518,0.993880,7.499,1.574,0.224,490.59
50000000,8,6.825573,0.908301,7.578,1.514,0.180,512.58
50000000,8,6.419970,1.063764,7.309,1.598,0.200,469.83
50000000,8,6.997842,0.928888,7.764,1.580,0.188,503.12
50000000,8,6.609059,0.964136,7.376,1.564,0.220,485.61
50000000,8,6.226027,1.178033,7.190,1.677,0.244,443.33
50000000,8,8.138575,1.230108,9.117,1.895,0.279,495.95
